path,slug,title,sidebar_order,sidebar_hidden,is_generated,is_major_doc,word_count,h1_count,h2_count,code_block_count,image_count,image_alt_present_ratio,internal_link_count,external_link_count,inbound_link_count,description_present,last_modified,last_author,age_days,distinct_committers_count,total_commits,vale_alert_count,vale_error_count,cspell_alert_count,a11y_total_issues,a11y_unique_rules,has_jsonld,in_llms_txt,instrumentation_count,ai_tell_signal_score,ai_tell_em_per_300,ai_tell_skill_verdict,risk_class,freshness_overdue,freshness_cadence_days,good_docs_type,diataxis_mode,seven_action,primary_persona,journey_stage_served,dd_steps_block_count,dd_inline_marker_count,dd_test_covered,dd_test_passed,dd_test_failed,dd_last_run,dari_task_count,dari_success_rate,dari_stuck_count,finding_ids_semicolon_delimited
src/content/docs/docs/integrations/atlassian-integration.mdx,docs/integrations/atlassian-integration,Atlassian Integration,31,false,false,true,1026,0,7,0,8,0,7,3,3,false,2026-03-23 23:21:47 -0700,promptless[bot],54,2,2,180,86,0,3,1,false,true,0,0,0,n-a,medium,false,120,how-to,how-to,Develop,P1-TechWriter,Configure,2,0,false,,,,,,,
src/content/docs/docs/integrations/bitbucket-integration.mdx,docs/integrations/bitbucket-integration,Bitbucket Integration,28,false,false,true,548,0,6,0,0,,1,0,1,false,2026-02-23 22:35:08 -0800,Prithvi Ramakrishnan,82,1,1,70,20,0,3,1,false,true,0,2,0,n-a,medium,false,120,how-to,how-to,Develop,P2-Engineer,Configure,0,0,false,,,,,,,
src/content/docs/docs/integrations/github-enterprise-integration.mdx,docs/integrations/github-enterprise-integration,GitHub Enterprise Integration,30,false,false,true,1166,0,12,1,11,0,4,1,2,false,2026-02-24 09:38:09 -0800,Prithvi Ramakrishnan,82,1,2,226,27,1,3,1,false,true,0,3,0,n-a,medium,false,120,how-to,how-to,Develop,P2-Engineer,Configure,1,0,false,,,,,,,
src/content/docs/docs/integrations/github-integration.mdx,docs/integrations/github-integration,GitHub Integration,29,false,false,true,717,0,6,0,5,0,4,2,6,false,2026-02-23 22:35:08 -0800,Prithvi Ramakrishnan,82,1,1,81,23,0,3,1,false,true,0,1,0,n-a,medium,false,120,how-to,how-to,Develop,P2-Engineer,Configure,0,0,false,,,,,,,
src/content/docs/docs/integrations/intercom-integration-beta.mdx,docs/integrations/intercom-integration-beta,Intercom Integration (Beta),36,false,false,true,135,0,3,0,0,,2,1,2,false,2026-02-23 22:35:08 -0800,Prithvi Ramakrishnan,82,1,1,20,2,0,3,1,false,true,0,0,0,n-a,medium,false,120,how-to,how-to,Develop,P3-Support,Configure,0,0,false,,,,,,,
src/content/docs/docs/integrations/launchdarkly-integration-beta.mdx,docs/integrations/launchdarkly-integration-beta,LaunchDarkly Integration (Beta),37,false,false,true,260,0,2,0,0,,0,3,1,false,2026-04-28 21:01:31 -0700,promptless[bot],18,1,1,28,12,0,3,1,false,true,0,0,0,n-a,medium,false,120,how-to,how-to,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/integrations/linear-integration.mdx,docs/integrations/linear-integration,Linear Integration,32,false,false,true,169,0,3,0,4,0,1,2,2,false,2026-02-23 22:35:08 -0800,Prithvi Ramakrishnan,82,1,1,32,7,0,3,1,false,true,0,0,0,n-a,medium,false,120,how-to,how-to,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/integrations/microsoft-teams-integration.mdx,docs/integrations/microsoft-teams-integration,Microsoft Teams Integration (Beta),34,false,false,true,303,0,3,0,6,0,3,2,2,false,2026-04-10 16:46:59 -0700,promptless[bot],37,2,3,43,11,0,3,1,false,true,0,2,0,n-a,medium,false,120,how-to,how-to,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/integrations/slack-integration.mdx,docs/integrations/slack-integration,Slack Integration,33,false,false,true,562,0,5,0,4,0,3,2,5,false,2026-05-08 16:04:17 -0700,promptless[bot],9,3,7,92,36,0,3,1,false,true,0,2,2.85,n-a,medium,false,120,how-to,how-to,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/integrations.mdx,docs/integrations,Integrations,27,false,false,false,410,0,4,0,0,,12,1,1,false,2026-05-06 18:32:10 -0700,Prithvi Ramakrishnan,10,2,7,69,17,0,3,1,false,true,0,0,0,n-a,medium,false,120,concept,explanation,unknown,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/security-and-privacy/compliance-and-certifications.mdx,docs/security-and-privacy/compliance-and-certifications,Compliance and Certifications,40,false,false,false,350,0,6,0,0,,0,0,0,false,2026-05-15 12:44:21 +0000,promptless[bot],2,2,2,77,5,1,3,1,false,true,0,0,0,n-a,high,false,60,reference,reference,Appraise,P4-Security,Evaluate,0,0,false,,,,,,,
src/content/docs/docs/security-and-privacy/data-handling-and-classification.mdx,docs/security-and-privacy/data-handling-and-classification,Data Handling and Classification,41,false,false,false,639,0,5,0,0,,0,0,1,false,2026-05-15 12:44:21 +0000,promptless[bot],2,2,2,147,34,0,3,1,false,true,0,5,0,moderate,high,false,60,reference,reference,Appraise,P4-Security,Evaluate,0,0,false,,,,,,,
src/content/docs/docs/security-and-privacy/network-architecture.mdx,docs/security-and-privacy/network-architecture,Network Architecture,42,false,false,false,293,0,3,0,1,0,0,0,0,false,2026-05-15 12:44:21 +0000,promptless[bot],2,2,2,79,7,0,3,1,false,true,0,2,0,n-a,high,false,60,reference,reference,Appraise,P4-Security,Evaluate,0,0,false,,,,,,,
src/content/docs/docs/security-and-privacy/privacy-policy.mdx,docs/security-and-privacy/privacy-policy,Privacy Policy,44,false,false,false,120,0,3,0,0,,0,1,0,false,2026-02-24 09:38:09 -0800,Prithvi Ramakrishnan,82,1,2,29,2,0,3,1,false,true,0,1,0,n-a,high,true,60,reference,reference,Appraise,P4-Security,Evaluate,0,0,false,,,,,,,
src/content/docs/docs/security-and-privacy/promptless-subprocessors.mdx,docs/security-and-privacy/promptless-subprocessors,Promptless Subprocessors,43,false,false,true,341,0,2,0,0,,0,0,0,false,2026-05-15 12:44:21 +0000,promptless[bot],2,2,3,72,12,0,3,1,false,true,0,0,0,n-a,high,false,60,unknown,unknown,Appraise,P4-Security,Evaluate,0,0,false,,,,,,,
src/content/docs/docs/security-and-privacy/single-sign-on-sso-setup.mdx,docs/security-and-privacy/single-sign-on-sso-setup,Single Sign-On (SSO) Setup,39,false,false,true,491,0,6,0,0,,2,0,0,false,2026-02-23 22:35:08 -0800,Prithvi Ramakrishnan,82,1,1,63,8,0,3,1,false,true,0,4,0,moderate,high,true,60,how-to,how-to,Appraise,P4-Security,Evaluate,0,0,false,,,,,,,
src/content/docs/docs/security-and-privacy.mdx,docs/security-and-privacy,Security and Privacy,38,false,false,false,136,0,1,0,0,,6,0,1,false,2026-04-20 14:58:00 -0700,promptless[bot],27,2,3,36,3,0,3,1,false,true,0,0,0,n-a,high,false,60,concept,explanation,Appraise,P4-Security,Evaluate,0,0,false,,,,,,,
src/content/docs/docs/self-hosting/kubernetes-helm.mdx,docs/self-hosting/kubernetes-helm,Kubernetes + Helm Deployment,68,true,false,true,1037,3,9,1,1,1,4,0,0,true,2026-04-28 17:59:06 -0700,InlinePizza,18,2,2,249,29,4,,,false,false,0,1,0.64,n-a,high,false,60,how-to,how-to,Develop,P5-Ops,Scale,2,0,false,,,,,,,F-0001
src/content/docs/docs/self-hosting.mdx,docs/self-hosting,Self-Hosting Overview,67,true,false,true,643,1,4,0,0,,3,0,1,true,2026-02-23 22:35:08 -0800,Prithvi Ramakrishnan,82,1,1,102,7,1,,,false,false,0,3,0,n-a,high,true,60,how-to,how-to,Develop,P5-Ops,Scale,0,0,false,,,,,,,
